x,y,t
-4.130776120949905e-14,1.631060691963564e-14,1779854181.5360365
-4.142206360040954e-14,1.6366122737009998e-14,1779854181.596162
-4.153603648550092e-14,1.6421452818745744e-14,1779854181.636135
-4.165017620095471e-14,1.6476838237387196e-14,1779854181.696166
-4.176490574488313e-14,1.654734201334468e-14,1779854181.7362156
-4.187279844755768e-14,1.6600089204102638e-14,1779854181.7964175
-4.1986935326801365e-14,1.665587152111079e-14,1779854181.8363051
-4.210080772386527e-14,1.6711506045516283e-14,1779854181.8963966
-4.221489671807256e-14,1.6767227872149147e-14,1779854181.9362237
-4.2328817959880326e-14,1.6822849242580982e-14,1779854181.996326
-4.244268070209048e-14,1.6878423566413025e-14,1779854182.0362613
-4.255697920626947e-14,1.693419203552672e-14,1779854182.096375
-4.267080650606503e-14,1.6989712061991296e-14,1779854182.1362936
-4.278491135850401e-14,1.704534896872663e-14,1779854182.196227
-4.2899146970593766e-14,1.7101031072476282e-14,1779854182.2362194
-4.301316309415627e-14,1.7156587647785844e-14,1779854182.2962134
-4.3127203365316904e-14,1.721213748205652e-14,1779854182.3362088
-4.324105618222023e-14,1.7267577528638055e-14,1779854182.396293
-4.3355304131333985e-14,1.7323191475348032e-14,1779854182.4362502
-4.346953653757162e-14,1.7378779290422846e-14,1779854182.496272
-4.3583403556827765e-14,1.743417080057411e-14,1779854182.5362349
-4.369768373125234e-14,1.7489744788948174e-14,1779854182.5963087
-4.3811641458552493e-14,1.7545143457016322e-14,1779854182.6362047
-4.392575391536534e-14,1.7600598859427718e-14,1779854182.696285
-4.404004997105113e-14,1.7656124949468014e-14,1779854182.7362223
-4.4055689172880594e-14,1.767724855505202e-14,1779854182.7561753
-4.414876563435366e-14,1.7722795309552848e-14,1779854182.7962315
-4.426268897599948e-14,1.777853363470347e-14,1779854182.8362713
-4.437686379919336e-14,1.7834382976703856e-14,1779854182.896258
-4.4490689005691275e-14,1.7890049289892572e-14,1779854182.936231
-4.46046477558956e-14,1.7945768925393373e-14,1779854182.9963498
-4.4718647659713604e-14,1.8001496678522057e-14,1779854183.0362263
-4.483278058644154e-14,1.8057277437515314e-14,1779854183.0962572
-4.494684976591242e-14,1.8113015014084466e-14,1779854183.1363966
-4.50606719859493e-14,1.816861992629674e-14,1779854183.1962233
-4.5174665282058224e-14,1.8224296430116453e-14,1779854183.2362046
-4.528890361373701e-14,1.8280080588479715e-14,1779854183.296361
-4.540288898437623e-14,1.83357291992903e-14,1779854183.336215
-4.5516847004345334e-14,1.8391352465095745e-14,1779854183.39623
-4.563077930005431e-14,1.84469511897054e-14,1779854183.4364243
-4.574479026955645e-14,1.85025763177818e-14,1779854183.496193
-4.585895985782867e-14,1.855826682215163e-14,1779854183.536452
-4.59728677188583e-14,1.8613817658928686e-14,1779854183.5962403
-4.608706308850918e-14,1.8669496707026517e-14,1779854183.6362612
-4.6201130496628784e-14,1.872510134717721e-14,1779854183.6962159
-4.631530651220919e-14,1.878074691709575e-14,1779854183.7363877
-4.634922219935942e-14,1.8808147666378884e-14,1779854183.7563176
-4.642501273603421e-14,1.8845301129762255e-14,1779854183.796271
-4.653901134996865e-14,1.8901180141155024e-14,1779854183.8364034
-4.6652704610392404e-14,1.895690268675536e-14,1779854183.8962116
-4.6766640685399006e-14,1.9012737453316015e-14,1779854183.9365826
-4.688072831507944e-14,1.9068639681086302e-14,1779854183.9962652
-4.699471323311201e-14,1.9124484769671257e-14,1779854184.0366104
-4.71085519646614e-14,1.9180251440748328e-14,1779854184.0963054
-4.72226150647818e-14,1.9236121224268816e-14,1779854184.1362066
-4.733638526589327e-14,1.9291840746164704e-14,1779854184.196252
